Name (click to view)ˇ,Manufacturer,Date Manufactured,Players,Type,Theme,IPDB Link
Bill Paxton Pinball,,17-Mar-10,4,SS,Celebrities,https://www.ipdb.org/machine.cgi?gid=5555&puid=38895
Bill's Belott's,Unknown Manufacturer,,1,ME,Playing Cards,https://www.ipdb.org/machine.cgi?gid=6268&puid=38895
Bill-Hop-Lux,Unknown Manufacturer,1932,1,ME,,https://www.ipdb.org/machine.cgi?gid=5789&puid=38895
"Billard ""SYP""",Unknown Manufacturer,,1,ME,,https://www.ipdb.org/machine.cgi?gid=5986&puid=38895
Billiard Flash (Spirit of America),Shyvers Coin Automatic Machine Company,"January, 1934",1,EM,,https://www.ipdb.org/machine.cgi?gid=3752&puid=38895
Billiard Practice,A.B.T. Manufacturing Company,"February, 1931",1,ME,Billiards,https://www.ipdb.org/machine.cgi?gid=6145&puid=38895
Billiardo,Gerber's Games Incorporated,"July, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=3610&puid=38895
Billiards,Gerber & Glass Distributing Company,1932,1,ME,,https://www.ipdb.org/machine.cgi?gid=5221&puid=38895
Billiomat,Coinomatic Corporation,"February, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=292&puid=38895
Bing,Bally Manufacturing Corporation,"October, 1938",1,EM,Celebrity,https://www.ipdb.org/machine.cgi?gid=4832&puid=38895
Bing Bang Game,Unknown Manufacturer,,1,ME,,https://www.ipdb.org/machine.cgi?gid=6279&puid=38895
Bing O Reno,Scientific Machine Corporation,"November, 1954",1,EM,Bingo - Pokerino,https://www.ipdb.org/machine.cgi?gid=5684&puid=38895
Bing-A-Roll,Genco Manufacturing Company,27-Oct-47,1,EM,,https://www.ipdb.org/machine.cgi?gid=4356&puid=38895
Bingo,D. Gottlieb & Company,"August, 1931",1,ME,,https://www.ipdb.org/machine.cgi?gid=294&puid=38895
Bingo,Keeney and Sons,"September, 1931",1,ME,,https://www.ipdb.org/machine.cgi?gid=3612&puid=38895
Bingo,Specialty Manufacturing Company,"February, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=3614&puid=38895
Bingo,Field Manufacturing Corporation,12-Dec-31,1,ME,,https://www.ipdb.org/machine.cgi?gid=3617&puid=38895
Bingo,Bingo Novelty Manufacturing Company,"July, 1931",1,ME,,https://www.ipdb.org/machine.cgi?gid=3620&puid=38895
Bingo (Improved),Bingo Novelty Manufacturing Company,"October, 1931",1,ME,,https://www.ipdb.org/machine.cgi?gid=5406&puid=38895
Bingo Ball,D. Gottlieb & Company,"November, 1931",1,ME,,https://www.ipdb.org/machine.cgi?gid=296&puid=38895
Bingo Bango,Nate Schneller Incorporated,"March, 1951",1,EM,Adventure,https://www.ipdb.org/machine.cgi?gid=297&puid=38895
Bingo Bombo,Recreativos Franco,"January, 1990",,,,https://www.ipdb.org/machine.cgi?gid=4677&puid=38895
Bingo Continental One Ball Euro,SIRMO Games S.A.,,1,SS,,https://www.ipdb.org/machine.cgi?gid=6083&puid=38895
Bingo Play Cards,Bingo Novelty Manufacturing Company,"January, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=299&puid=38895
Bingo Space,Recel S. A.,1981,1,SS,,https://www.ipdb.org/machine.cgi?gid=3618&puid=38895
Bingo Vacation,Keaon Corporation,,1,SS,,https://www.ipdb.org/machine.cgi?gid=5857&puid=38895
Bingo Whirl,Bingo Novelty Manufacturing Company,"June, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=300&puid=38895
Bingo-Cards,DeLo Specialty Co.,,1,EM,Bingo,https://www.ipdb.org/machine.cgi?gid=5910&puid=38895
Bird Man,Segasa d.b.a. Sonic,1978,4,EM,Sports - Hang Gliding,https://www.ipdb.org/machine.cgi?gid=3622&puid=38895
Birdie,Baker Novelty and Manufacturing Company,20-Jul-40,1,EM,,https://www.ipdb.org/machine.cgi?gid=3890&puid=38895
Birdland,J. H. Keeney and Company Incorporated,,1,EM,Aviary - Birds - Boats - Sailing - Water,https://www.ipdb.org/machine.cgi?gid=5747&puid=38895
Black & Reed,Industria (Electromec†nica) de Recreativos S.A,1975,1,EM,Playing Cards - Gambling,https://www.ipdb.org/machine.cgi?gid=4413&puid=38895
Black Aritipe?,Recel S. A.,"June, 1980",2,SS,,https://www.ipdb.org/machine.cgi?gid=3804&puid=38895
Black Baby,Field Manufacturing Corporation,15-Apr-33,1,ME,,https://www.ipdb.org/machine.cgi?gid=301&puid=38895
Black Ball,Royal Novelty Company,"November, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=4836&puid=38895
Black Beauty,Genco Manufacturing Company,"February, 1933",1,ME,,https://www.ipdb.org/machine.cgi?gid=302&puid=38895
Black Beauty,D. Gottlieb & Company,"February, 1934",1,ME,,https://www.ipdb.org/machine.cgi?gid=4193&puid=38895
Black Beauty Game,"Rich Toys, Rich Manufacturing Company",,1,ME,,https://www.ipdb.org/machine.cgi?gid=5997&puid=38895
Black Belt,Bally Midway Manufacturing Company,"June, 1986",4,SS,Martial Arts,https://www.ipdb.org/machine.cgi?gid=303&puid=38895
Black Dragon,J. H. Keeney and Company Incorporated,"November, 1960",1,EM,,https://www.ipdb.org/machine.cgi?gid=3643&puid=38895
Black Fever,Playmatic,"December, 1980",4,SS,Dancing - Music - Women,https://www.ipdb.org/machine.cgi?gid=3645&puid=38895
Black Flag,Playmatic,"May, 1975",4,EM,Historical - Pirates,https://www.ipdb.org/machine.cgi?gid=304&puid=38895
Black Flag,Playmatic,1973,1,EM,Historical - Pirates,https://www.ipdb.org/machine.cgi?gid=4487&puid=38895
Black Gold,Genco Manufacturing Company,12-Mar-49,1,EM,Energy - Oil Exploration,https://www.ipdb.org/machine.cgi?gid=305&puid=38895
Black Gold,"Williams Electronics, Incorporated",24-Sep-75,1,EM,Oil Drilling and Exploration,https://www.ipdb.org/machine.cgi?gid=306&puid=38895
Black Hole,"D. Gottlieb & Company, a Columbia Pictures Industries Company","October, 1981",4,SS,Outer Space,https://www.ipdb.org/machine.cgi?gid=307&puid=38895
Black Hole,Giuliano Lodola,1980,4,SS,Outer Space - Space Fantasy,https://www.ipdb.org/machine.cgi?gid=4087&puid=38895
Black Hole,"Taito do Brasil, a division of Taito, Japan",,4,SS,,https://www.ipdb.org/machine.cgi?gid=4577&puid=38895
Black Hole,LTD do Brasil Divers?es Eletrìnicas Ltda,,2,SS,Outer Space - Space Fantasy,https://www.ipdb.org/machine.cgi?gid=5891&puid=38895
Black Jack,Williams Electronic Manufacturing Company,22-Nov-60,1,EM,Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=308&puid=38895
Black Jack,Bally Manufacturing Corporation,"June, 1978",4,SS,Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=309&puid=38895
Black Jack,Bally Manufacturing Corporation,"April, 1977",2,EM,Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=4498&puid=38895
Black Knight,"Williams Electronics, Incorporated","November, 1980",4,SS,Historical - Knights,https://www.ipdb.org/machine.cgi?gid=310&puid=38895
Black Knight 2000,"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated",4-Apr-89,4,SS,Historical - Knights,https://www.ipdb.org/machine.cgi?gid=311&puid=38895
Black Knight Limited Edition,"Williams Electronics, Incorporated","June, 1981",4,SS,,https://www.ipdb.org/machine.cgi?gid=3799&puid=38895
Black Magic,Recel S. A.,1980,1,SS,Black Magic - Occult,https://www.ipdb.org/machine.cgi?gid=5566&puid=38895
Black Magic,Procedimientos ElectromagnÇticos de Tanteo y Color,,1,SS,Black Magic - Occult,https://www.ipdb.org/machine.cgi?gid=6013&puid=38895
Black Magic 4,Recel S. A.,"June, 1980",4,SS,Black Magic - Occult,https://www.ipdb.org/machine.cgi?gid=3626&puid=38895
Black Out,Baker Novelty and Manufacturing Company,,1,EM,Warfare,https://www.ipdb.org/machine.cgi?gid=4966&puid=38895
Black Pearl,"Viditis, S.P.R.L.","September, 2009",1,SS,,https://www.ipdb.org/machine.cgi?gid=5612&puid=38895
Black Pyramid,Bally Midway Manufacturing Company,"July, 1984",4,SS,Adventure - Supernatural,https://www.ipdb.org/machine.cgi?gid=312&puid=38895
Black Rider,Giuliano Lodola,1981,4,SS,Knights,https://www.ipdb.org/machine.cgi?gid=4085&puid=38895
Black Rose,"Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated","July, 1992",4,SS,Fantasy - Pirates - Fictional,https://www.ipdb.org/machine.cgi?gid=313&puid=38895
Black Sheep Squadron,Astro Games Incorporated,"January, 1979",4,SS,Adventure - Combat,https://www.ipdb.org/machine.cgi?gid=314&puid=38895
Black Velvet,"Game Plan, Incorporated","May, 1978",4,SS,Licensed Theme,https://www.ipdb.org/machine.cgi?gid=315&puid=38895
Black-Jack,Acorn Vending Company,"May, 1932",1,ME,Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=4843&puid=38895
Blackbelt,Zaccaria,"March, 1986",4,SS,Martial Arts,https://www.ipdb.org/machine.cgi?gid=316&puid=38895
Blackout,"Williams Electronics, Incorporated","June, 1980",4,SS,Outer Space - Space Fantasy,https://www.ipdb.org/machine.cgi?gid=317&puid=38895
Blackstone,Stoner Manufacturing Company,"July, 1933",1,ME,,https://www.ipdb.org/machine.cgi?gid=318&puid=38895
Blackstone,Chicago Coin Machine Manufacturing Company,"July, 1933",1,ME,,https://www.ipdb.org/machine.cgi?gid=3628&puid=38895
Blackwater 100,Bally Midway Manufacturing Company,"March, 1988",4,SS,Sports - Motorcycles/Motocross,https://www.ipdb.org/machine.cgi?gid=319&puid=38895
Blast Off,"Williams Electronics, Incorporated",31-May-67,1,EM,Outer Space,https://www.ipdb.org/machine.cgi?gid=320&puid=38895
Blink-Feuer,Automatenbau Paul Bohlmann,1937,1,EM,,https://www.ipdb.org/machine.cgi?gid=5973&puid=38895
Block-A-Shot,"Briarwood, A Division Of Brunswick Manufacturing Company","December, 1976",2,EM,Sports - Basketball,https://www.ipdb.org/machine.cgi?gid=3630&puid=38895
Blondie,Chicago Coin Machine Manufacturing Company,"June, 1956",1,EM,Beach - Swimming,https://www.ipdb.org/machine.cgi?gid=321&puid=38895
Blondie,Genco Manufacturing Company,"March, 1940",1,EM,Beach - Boating - Happiness - Recreation - Swimming - Water - Women,https://www.ipdb.org/machine.cgi?gid=322&puid=38895
Bloody China,Unknown Manufacturer,1985,4,SS,World Places - Martial Arts,https://www.ipdb.org/machine.cgi?gid=3969&puid=38895
Bloody Roller,Playbar S.A.,1987,4,SS,Roller Derby - Rollerskating,https://www.ipdb.org/machine.cgi?gid=4123&puid=38895
Blow Me Down,Coast Coin Machine Company,"April, 1933",1,ME,,https://www.ipdb.org/machine.cgi?gid=323&puid=38895
Blue Bird,Bally Manufacturing Corporation,"September, 1936",1,EM,,https://www.ipdb.org/machine.cgi?gid=324&puid=38895
Blue Box,C. E. Hoagland,"July, 1935",1,EM,,https://www.ipdb.org/machine.cgi?gid=4739&puid=38895
Blue Chip,"Williams Electronics, Incorporated","December, 1976",1,EM,Stock Market,https://www.ipdb.org/machine.cgi?gid=325&puid=38895
Blue Chip,Bally Manufacturing Corporation,,1,EM,,https://www.ipdb.org/machine.cgi?gid=3632&puid=38895
Blue Diamond,Willy Michiels,,1,SS,,https://www.ipdb.org/machine.cgi?gid=4531&puid=38895
Blue Grass,Bally Manufacturing Corporation,1941,1,EM,Sports - Horse Racing,https://www.ipdb.org/machine.cgi?gid=326&puid=38895
Blue Max,Chicago Coin Machine Manufacturing Company,10-Jul-75,4,EM,Adventure - Combat,https://www.ipdb.org/machine.cgi?gid=327&puid=38895
Blue Note,"D. Gottlieb & Company, a Columbia Pictures Industries Company","December, 1978",1,EM,Music - Singing,https://www.ipdb.org/machine.cgi?gid=328&puid=38895
Blue Ribbon,Bally Manufacturing Corporation,"November, 1933",1,ME,Sports - Auto Racing,https://www.ipdb.org/machine.cgi?gid=329&puid=38895
Blue Ribbon,Bally Manufacturing Corporation,"December, 1965",4,EM,Pageantry,https://www.ipdb.org/machine.cgi?gid=330&puid=38895
Blue Ribbon,Bally Manufacturing Corporation,1939,1,EM,,https://www.ipdb.org/machine.cgi?gid=3826&puid=38895
Blue Seal,Watling Manufacturing Company,"April, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=331&puid=38895
Blue Skies,United Manufacturing Company,"November, 1948",1,EM,Sailing - Relaxation,https://www.ipdb.org/machine.cgi?gid=332&puid=38895
Blue Star Double,DeLuxe Amusement Company,"February, 1933",1,ME,,https://www.ipdb.org/machine.cgi?gid=4011&puid=38895
Blue Streak,"Daval Mfg Company Incorporated, G.B.","October, 1934",1,ME,,https://www.ipdb.org/machine.cgi?gid=333&puid=38895
Blue Streak,Dudley-Clark Company,1934,1,ME,,https://www.ipdb.org/machine.cgi?gid=4206&puid=38895
BMX,Bally Manufacturing Corporation,"January, 1983",4,SS,Sports - Bicycling,https://www.ipdb.org/machine.cgi?gid=335&puid=38895
Bo Bo,Williams Electronic Manufacturing Company,17-Jan-61,1,EM,Circus / Carnival - Clowns,https://www.ipdb.org/machine.cgi?gid=336&puid=38895
Board of Trade,O. D. Jennings and Company,"November, 1935",1,EM,Commodities Market - Automobiles - City Scene - Travel,https://www.ipdb.org/machine.cgi?gid=4262&puid=38895
Bobs,Exhibit Supply Company,"January, 1938",1,EM,Bobsledding - Snow,https://www.ipdb.org/machine.cgi?gid=3638&puid=38895
Boing Boing,Talleres del Llobregat S.A. [Automaticos],,,,,https://www.ipdb.org/machine.cgi?gid=4608&puid=38895
Bola-Way,Chicago Coin Machine Manufacturing Company,13-Sep-41,1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=337&puid=38895
Bolero,United Manufacturing Company,"December, 1951",1,EM,Music - Singing - Dancing,https://www.ipdb.org/machine.cgi?gid=338&puid=38895
Bolo,Pacent Novelty Manufacturing Company,"July, 1936",5,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=340&puid=38895
Bomb The Axis Rats,Victory Games,"September, 1943",1,EM,Wartime - Patriotic,https://www.ipdb.org/machine.cgi?gid=3641&puid=38895
Bombardier,Victory Games,"October, 1943",1,EM,Wartime,https://www.ipdb.org/machine.cgi?gid=3647&puid=38895
Bombardier,P & S Machine Company,"August, 1943",1,EM,,https://www.ipdb.org/machine.cgi?gid=3846&puid=38895
Bombardier,P & S Machine Company,"July, 1944",1,EM,Military - World War II,https://www.ipdb.org/machine.cgi?gid=3872&puid=38895
Bomber,Rock-ola Manufacturing Corporation,"November, 1935",1,EM,Warfare,https://www.ipdb.org/machine.cgi?gid=341&puid=38895
Bomber,Chicago Coin Machine Manufacturing Company,"March, 1951",1,EM,Adventure - Combat,https://www.ipdb.org/machine.cgi?gid=342&puid=38895
Bomber,Unknown Manufacturer,1943,1,EM,,https://www.ipdb.org/machine.cgi?gid=3649&puid=38895
Bon Voyage,Bally Manufacturing Corporation,"November, 1974",1,EM,Aviation - Travel - Transportation,https://www.ipdb.org/machine.cgi?gid=343&puid=38895
Bonanza,Exhibit Supply Company,"September, 1935",1,EM,,https://www.ipdb.org/machine.cgi?gid=344&puid=38895
Bonanza,D. Gottlieb & Company,"June, 1964",2,EM,TV Show - Western,https://www.ipdb.org/machine.cgi?gid=345&puid=38895
Bonanza,Williams Manufacturing Company,5-Nov-47,1,EM,,https://www.ipdb.org/machine.cgi?gid=346&puid=38895
Bonanza,Bally Manufacturing Corporation,,1,EM,TV Show - Western,https://www.ipdb.org/machine.cgi?gid=3803&puid=38895
Bone Busters Inc.,Premier Technology,"August, 1989",4,SS,"Haunted, Skeletons, Supernatural",https://www.ipdb.org/machine.cgi?gid=347&puid=38895
Bone Head,Genco Manufacturing Company,5-Nov-48,1,EM,,https://www.ipdb.org/machine.cgi?gid=348&puid=38895
Bongo,Bally Manufacturing Corporation,"March, 1964",2,EM,,https://www.ipdb.org/machine.cgi?gid=349&puid=38895
Bongor,Maquinas Recreativas Sociedad Anonima,1975,1,EM,Jungle,https://www.ipdb.org/machine.cgi?gid=5713&puid=38895
Bonus,Pacific Amusement Manufacturing Company,"February, 1935",1,EM,,https://www.ipdb.org/machine.cgi?gid=4223&puid=38895
Bonus Baseball,United Manufacturing Company,"February, 1962",1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=350&puid=38895
Bonus-7,Bally Manufacturing Corporation,,1,EM,,https://www.ipdb.org/machine.cgi?gid=351&puid=38895
Boo-Hoo,"Daval Mfg Company Incorporated, G.B.","May, 1937",1,EM,Sports - Horse Racing,https://www.ipdb.org/machine.cgi?gid=353&puid=38895
Boogie,"Allied Leisure Industries, Incorporated","August, 1976",4,SS,Music ? Singing - Dancing,https://www.ipdb.org/machine.cgi?gid=352&puid=38895
Bookmaker's,Dama S.R.L.,1970,1,EM,,https://www.ipdb.org/machine.cgi?gid=4397&puid=38895
Boom Town,Success Manufacturing Corporation,"April, 1941",1,EM,Oil Drilling and Exploration,https://www.ipdb.org/machine.cgi?gid=355&puid=38895
Boomerang,Bally Manufacturing Corporation,"December, 1974",4,EM,Adventure - Foreign Peoples,https://www.ipdb.org/machine.cgi?gid=354&puid=38895
Boomerang,Amusematic Corporation,"February, 1947",1,EM,Circus/Carnival - Clowns,https://www.ipdb.org/machine.cgi?gid=6042&puid=38895
Boomerang,Bally Manufacturing Corporation,,4,SS,Adventure - Foreign Peoples,https://www.ipdb.org/machine.cgi?gid=6338&puid=38895
Boop-A-Doop,Pace Manufacturing Company Incorporated,"March, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=3653&puid=38895
Booster,J. H. Keeney and Company Incorporated,"May, 1936",1,EM,,https://www.ipdb.org/machine.cgi?gid=4282&puid=38895
Boot-A-Ball,Bally Manufacturing Corporation,,2,EM,Sports - Soccer,https://www.ipdb.org/machine.cgi?gid=356&puid=38895
Bord-Golf,Max Jentzsch & Meerz,"November, 1933",1,ME,Sports - Golf,https://www.ipdb.org/machine.cgi?gid=5782&puid=38895
Border Beauty,Bally Manufacturing Corporation,,1,EM,World Places,https://www.ipdb.org/machine.cgi?gid=3657&puid=38895
Border-Town,D. Gottlieb & Company,"June, 1940",1,EM,Oil Exploration - Western,https://www.ipdb.org/machine.cgi?gid=357&puid=38895
Bosco,Genco Manufacturing Company,"November, 1941",1,EM,Animals - Dogs - Music - Pets,https://www.ipdb.org/machine.cgi?gid=358&puid=38895
Boston,Williams Manufacturing Company,17-May-49,1,EM,American History - American Places,https://www.ipdb.org/machine.cgi?gid=359&puid=38895
Boston Red Sox,,,1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=5534&puid=38895
Bottoms Up,Globe Manufacturing Company,"August, 1935",1,EM,,https://www.ipdb.org/machine.cgi?gid=5465&puid=38895
Bouncer,C. E. Hoagland,"July, 1935",1,ME,,https://www.ipdb.org/machine.cgi?gid=4740&puid=38895
Bouncing Ball,Royal Novelty Company,"January, 1933",1,ME,,https://www.ipdb.org/machine.cgi?gid=4837&puid=38895
Bounty,Exhibit Supply Company,"November, 1938",1,EM,Adventure - Pirates,https://www.ipdb.org/machine.cgi?gid=360&puid=38895
Bounty,Bally Manufacturing Corporation,,1,EM,,https://www.ipdb.org/machine.cgi?gid=3659&puid=38895
Bounty Hunter,Premier Technology,"July, 1985",4,SS,American West,https://www.ipdb.org/machine.cgi?gid=361&puid=38895
Bouteille Bill,Unknown Manufacturer,,1,ME,,https://www.ipdb.org/machine.cgi?gid=5972&puid=38895
Bow and Arrow,Bally Manufacturing Corporation,1974,4,SS,American West,https://www.ipdb.org/machine.cgi?gid=4770&puid=38895
Bow and Arrow,Bally Manufacturing Corporation,"November, 1975",4,EM,American West,https://www.ipdb.org/machine.cgi?gid=362&puid=38895
Bowie,"Daval Mfg Company Incorporated, G.B.",1936,1,EM,,https://www.ipdb.org/machine.cgi?gid=4297&puid=38895
Bowl A Line,Bally Manufacturing Corporation,,1,EM,,https://www.ipdb.org/machine.cgi?gid=5090&puid=38895
Bowl A Strike,Williams Electronic Manufacturing Company,23-Nov-65,1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=363&puid=38895
Bowl-A-Line,Bally Manufacturing Corporation,1972,1,EM,,https://www.ipdb.org/machine.cgi?gid=4529&puid=38895
Bowl-A-Line,Genco Manufacturing Company,7-Sep-50,,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=6394&puid=38895
Bowl-A-Ray,Genco Manufacturing Company,24-Apr-50,,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=6390&puid=38895
Bowl-O,Bally Manufacturing Corporation,"April, 1970",1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=368&puid=38895
Bowlette,D. Gottlieb & Company,"February, 1950",1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=3661&puid=38895
Bowling,Unknown Manufacturer,,1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=5380&puid=38895
Bowling,"F†brica de Aparatos Electro Mec†nicos Recreativos, S.L",,,,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=6231&puid=38895
bowling (alle neune),Naujoks-Schulze-Menke,,1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=6037&puid=38895
Bowling Alley,D. Gottlieb & Company,"February, 1939",1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=364&puid=38895
Bowling Alley,Chicago Coin Machine Manufacturing Company,"October, 1949",1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=3662&puid=38895
Bowling Champ,D. Gottlieb & Company,"February, 1949",1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=365&puid=38895
Bowling Flipper,Rally a.k.a. Rally Play Company,1961,2,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=3663&puid=38895
Bowling League,D. Gottlieb & Company,"August, 1947",1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=366&puid=38895
Bowling League,Genco Manufacturing Company,30-Nov-49,1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=6389&puid=38895
Bowling Queen,D. Gottlieb & Company,"July, 1964",1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=367&puid=38895
Bowlingirl,Ditta Artigiana Ricambi,,2,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=3978&puid=38895
Box Score,"Daval Mfg Company Incorporated, G.B.","June, 1935",1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=369&puid=38895
Box Score,"Daval Mfg Company Incorporated, G.B.","April, 1939",1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=370&puid=38895
Box Score,Williams Manufacturing Company,"December, 1947",1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=3742&puid=38895
Boxing,Maquinas Recreativas Sociedad Anonima,1967,1,EM,Sports - Boxing,https://www.ipdb.org/machine.cgi?gid=4367&puid=38895
Bram Stoker's Dracula,"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","April, 1993",4,SS,Celebrities - Fictional - Licensed Theme,https://www.ipdb.org/machine.cgi?gid=3072&puid=38895
Brave Team,Industria (Electromec†nica) de Recreativos S.A,1985,4,SS,,https://www.ipdb.org/machine.cgi?gid=4480&puid=38895
Brazil,United Manufacturing Company,"October, 1956",1,EM,Beach - Happiness - Recreation - Swimming - Water - Women - World Places,https://www.ipdb.org/machine.cgi?gid=372&puid=38895
Brazil,United Manufacturing Company,"August, 1943",1,EM,World Places,https://www.ipdb.org/machine.cgi?gid=373&puid=38895
Break,Videodens,1986,4,SS,,https://www.ipdb.org/machine.cgi?gid=5569&puid=38895
Breakshot,"Capcom Coin-Op, Incorporated","May, 1996",4,SS,Pool,https://www.ipdb.org/machine.cgi?gid=3784&puid=38895
Bridgeball,Culp Products Company,15-Sep-50,1,ME,,https://www.ipdb.org/machine.cgi?gid=5602&puid=38895
Bright Lights,Bally Manufacturing Corporation,,1,EM,,https://www.ipdb.org/machine.cgi?gid=374&puid=38895
Bright Spot,Bally Manufacturing Corporation,,1,EM,,https://www.ipdb.org/machine.cgi?gid=375&puid=38895
Brillant Torero,T.H. Bergmann & Company,1938,1,EM,Sports - Bullfighting,https://www.ipdb.org/machine.cgi?gid=4887&puid=38895
Bristol Hills,D. Gottlieb & Company,"January, 1971",2,EM,Sports - Skiing - Snowmobiling,https://www.ipdb.org/machine.cgi?gid=376&puid=38895
Brite Spot,Stoner Manufacturing Company,"May, 1940",1,EM,,https://www.ipdb.org/machine.cgi?gid=377&puid=38895
Brite Star,D. Gottlieb & Company,"April, 1958",2,EM,Show Business,https://www.ipdb.org/machine.cgi?gid=378&puid=38895
Broadcast,Bally Manufacturing Corporation,"February, 1941",1,EM,,https://www.ipdb.org/machine.cgi?gid=379&puid=38895
Broadway,Pacific Amusement Manufacturing Company,"December, 1936",1,EM,American Places - Entertainment - Theater,https://www.ipdb.org/machine.cgi?gid=380&puid=38895
Broadway,Bally Manufacturing Corporation,,1,EM,,https://www.ipdb.org/machine.cgi?gid=381&puid=38895
Broadway,Bally Manufacturing Corporation,,1,EM,Pageantry - Women,https://www.ipdb.org/machine.cgi?gid=382&puid=38895
Broadway,Bill's Novelty Company,"September, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=3917&puid=38895
Broadway,Broadway Novelty Co.,"September, 1932",1,ME,American Places - Entertainment - Theater,https://www.ipdb.org/machine.cgi?gid=5563&puid=38895
Broadway,Unknown Manufacturer,,1,ME,,https://www.ipdb.org/machine.cgi?gid=5620&puid=38895
Brokers Tip,D. Gottlieb & Company,"June, 1933",1,ME,Wall Street,https://www.ipdb.org/machine.cgi?gid=383&puid=38895
Brokers Tip,D. Gottlieb & Company,"April, 1936",1,EM,,https://www.ipdb.org/machine.cgi?gid=384&puid=38895
Broncho,Exhibit Supply Company,"October, 1937",1,EM,,https://www.ipdb.org/machine.cgi?gid=385&puid=38895
Broncho,Genco Manufacturing Company,3-Sep-47,1,EM,American West - Rodeo,https://www.ipdb.org/machine.cgi?gid=386&puid=38895
Bronco,Chicago Coin Machine Manufacturing Company,"November, 1963",2,EM,Horses - Rodeo - Western,https://www.ipdb.org/machine.cgi?gid=387&puid=38895
Bronco,"D. Gottlieb & Company, a Columbia Pictures Industries Company","March, 1977",4,EM,American West,https://www.ipdb.org/machine.cgi?gid=388&puid=38895
Bronco Busters,Gotham Pressed Steel Corporation,,1,ME,American West,https://www.ipdb.org/machine.cgi?gid=4861&puid=38895
Brooklyn,SIRMO Games S.A.,,1,SS,American Places,https://www.ipdb.org/machine.cgi?gid=6086&puid=38895
Brooks & Dunn,Premier Technology,"August, 1996",4,SS,Music - Western,https://www.ipdb.org/machine.cgi?gid=4008&puid=38895
Brownie Pool,J. Kammen,"February, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=5508&puid=38895
Bubble,Genco Manufacturing Company,"February, 1939",1,EM,,https://www.ipdb.org/machine.cgi?gid=389&puid=38895
Bubbles,Genco Manufacturing Company,17-Apr-47,1,EM,Ecdysiast Entertainment - Dancing - Women,https://www.ipdb.org/machine.cgi?gid=3963&puid=38895
Bubbles,Genco Manufacturing Company,"January, 1939",1,EM,Women,https://www.ipdb.org/machine.cgi?gid=5325&puid=38895
Bubbles (Rolldown),Genco Manufacturing Company,31-Jan-48,1,EM,,https://www.ipdb.org/machine.cgi?gid=4355&puid=38895
Buccaneer,D. Gottlieb & Company,"October, 1948",1,EM,Historical - Pirates,https://www.ipdb.org/machine.cgi?gid=390&puid=38895
Buccaneer,D. Gottlieb & Company,"June, 1976",1,EM,Adventure - Pirates,https://www.ipdb.org/machine.cgi?gid=391&puid=38895
Buccaneer,J. Esteban,,4,EM,Adventure - Pirates,https://www.ipdb.org/machine.cgi?gid=6276&puid=38895
