Name,Orig Name,IPDB ID,Manufacturer,Date Manufactured,Players,Type,Theme
Big Shot,Big Shot,4323,A.B.T. Manufacturing Company,"March, 1936",1,EM,
Big Show,Big Show,275,Bally Manufacturing Corporation,"January, 1974",2,EM,Circus/Carnival
Big Show,Big Show,276,Bally Manufacturing Corporation,,1,EM,Music - Pageantry
Big Show,Big Show,277,D. Gottlieb & Company,"February, 1940",1,EM,Circus/Carnival
Big Six,Big Six,278,J. H. Keeney and Company Incorporated,"October, 1939",1,EM,
Big Star,Big Star,279,"Williams Electronics, Incorporated",21-Sep-72,1,EM,Music - Singing
Big Star,Big Star,5552,Lindstrom Tool and Toy Company,,1,ME,
Big Strike,Big Strike,280,Williams Electronic Manufacturing Company,31-Aug-66,1,EM,Sports - Fishing
Big Ten,Big Ten,281,H. C. Evans & Company,"September, 1935",1,EM,Sports - Basketball
Big Ten,Big Ten,3642,J. H. Keeney and Company Incorporated,24-Oct-38,1,EM,Sports - Football
Big Three,Big Three,3644,Mills Novelty Company,"February, 1941",1,EM,
Big Three,Big Three,3875,Westerhaus Manufacturing Company,"June, 1945",1,EM,World War II
Big Time,Big Time,282,Baker Novelty and Manufacturing Company,"January, 1941",1,EM,
Big Time,Big Time,283,Bally Manufacturing Corporation,,1,EM,Dancing - Music - Nightlife - Pageantry
Big Together,Big Together,4557,"Sega Enterprises, Ltd.",1976,1,SS,
Big Top,Big Top,5062,V. P. Distributing Company,1944,1,EM,
Big Top,Big Top,5347,Premier Technology,,4,SS,Circus/Carnival
Big Top,Big Top,284,Pioneer Coin Machine Company,"August, 1945",1,EM,Circus/Carnival
Big Top,Big Top,285,Genco Manufacturing Company,19-Feb-49,1,EM,Circus/Carnival
Big Top,Big Top,286,D. Gottlieb & Company,"January, 1964",2,EM,Circus/Carnival - Happiness
Big Top,Big Top,287,Wico Corporation,"November, 1977",1,SS,Circus/Carnival
Big Top Mini Pinball,Big Top Mini Pinball,3952,Mayoni Enterprises,"November, 1989",1,ME,Circus
Big Town,Big Town,288,Genco Manufacturing Company,"February, 1940",1,EM,
Big Town,Big Town,3607,Playmatic,"April, 1978",4,SS,City Skyline
Big Valley,Big Valley,289,Bally Manufacturing Corporation,"May, 1970",4,EM,American West
Big Valley,Big Valley,4779,Renato Montanari Giochi,1970,4,EM,
Big Wheel,Big Wheel,3608,Bally Manufacturing Corporation,,1,EM,Amusement Park - Carnival - Ferris Wheels
Big-Bertha (Junior),Big-Bertha (Junior),5383,"Daval Mfg Company Incorporated, G.B.","August, 1934",1,EM,Combat - Military - Historical - Wartime - Warfare - World War I
Big-Bertha (Senior),Big-Bertha (Senior),233,"Daval Mfg Company Incorporated, G.B.","August, 1934",1,EM,Combat - Military - Historical - Wartime - Warfare - World War I
Bigfoot,Bigfoot,4345,Bally Manufacturing Corporation,,4,EM,Myth and Legend
Bike Race,Bike Race,4120,"Creaciones e Investigaciones ElectrÛnicas, Sociedad Limitada",1992,4,SS,Motorcycles - Racing
Bikini,Bikini,290,Bally Manufacturing Corporation,,1,EM,Beach - Happiness - Recreation - Sailing - Water - Women
Bikini,Bikini,5481,Thames Mfg. Co.,,1,EM,
Bill Paxton Pinball,Bill Paxton Pinball,5555,,17-Mar-10,4,SS,Celebrities
Bill's Belott's,Bill's Belott's,6268,Unknown Manufacturer,,1,ME,Playing Cards
Bill-Hop-Lux,Bill-Hop-Lux,5789,Unknown Manufacturer,1932,1,ME,
"Billard ""SYP""","Billard ""SYP""",5986,Unknown Manufacturer,,1,ME,
Billiard Flash (Spirit of America),Billiard Flash (Spirit of America),3752,Shyvers Coin Automatic Machine Company,"January, 1934",1,EM,
Billiard Practice,Billiard Practice,6145,A.B.T. Manufacturing Company,"February, 1931",1,ME,Billiards
Billiardo,Billiardo,3610,Gerber's Games Incorporated,"July, 1932",1,ME,
Billiards,Billiards,5221,Gerber & Glass Distributing Company,1932,1,ME,
Billiomat,Billiomat,292,Coinomatic Corporation,"February, 1932",1,ME,
Bing,Bing,4832,Bally Manufacturing Corporation,"October, 1938",1,EM,Celebrity
Bing Bang Game,Bing Bang Game,6279,Unknown Manufacturer,,1,ME,
Bing O Reno,Bing O Reno,5684,Scientific Machine Corporation,"November, 1954",1,EM,Bingo - Pokerino
Bing-A-Roll,Bing-A-Roll,4356,Genco Manufacturing Company,27-Oct-47,1,EM,
Bingo,Bingo,294,D. Gottlieb & Company,"August, 1931",1,ME,
Bingo,Bingo,3612,Keeney and Sons,"September, 1931",1,ME,
Bingo,Bingo,3614,Specialty Manufacturing Company,"February, 1932",1,ME,
Bingo,Bingo,3617,Field Manufacturing Corporation,12-Dec-31,1,ME,
Bingo,Bingo,3620,Bingo Novelty Manufacturing Company,"July, 1931",1,ME,
Bingo (Improved),Bingo (Improved),5406,Bingo Novelty Manufacturing Company,"October, 1931",1,ME,
Bingo Ball,Bingo Ball,296,D. Gottlieb & Company,"November, 1931",1,ME,
Bingo Bango,Bingo Bango,297,Nate Schneller Incorporated,"March, 1951",1,EM,Adventure
Bingo Bombo,Bingo Bombo,4677,Recreativos Franco,"January, 1990",,,
Bingo Continental One Ball Euro,Bingo Continental One Ball Euro,6083,SIRMO Games S.A.,,1,SS,
Bingo Play Cards,Bingo Play Cards,299,Bingo Novelty Manufacturing Company,"January, 1932",1,ME,
Bingo Space,Bingo Space,3618,Recel S. A.,1981,1,SS,
Bingo Vacation,Bingo Vacation,5857,Keaon Corporation,,1,SS,
Bingo Whirl,Bingo Whirl,300,Bingo Novelty Manufacturing Company,"June, 1932",1,ME,
Bingo-Cards,Bingo-Cards,5910,DeLo Specialty Co.,,1,EM,Bingo
Bird Man,Bird Man,3622,Segasa d.b.a. Sonic,1978,4,EM,Sports - Hang Gliding
Birdie,Birdie,3890,Baker Novelty and Manufacturing Company,20-Jul-40,1,EM,
Birdland,Birdland,5747,J. H. Keeney and Company Incorporated,,1,EM,Aviary - Birds - Boats - Sailing - Water
Black & Reed,Black & Reed,4413,Industria (Electromec·nica) de Recreativos S.A,1975,1,EM,Playing Cards - Gambling
Black Aritipe?,Black Aritipe?,3804,Recel S. A.,"June, 1980",2,SS,
Black Baby,Black Baby,301,Field Manufacturing Corporation,15-Apr-33,1,ME,
Black Ball,Black Ball,4836,Royal Novelty Company,"November, 1932",1,ME,
Black Beauty,Black Beauty,302,Genco Manufacturing Company,"February, 1933",1,ME,
Black Beauty,Black Beauty,4193,D. Gottlieb & Company,"February, 1934",1,ME,
Black Beauty Game,Black Beauty Game,5997,"Rich Toys, Rich Manufacturing Company",,1,ME,
Black Belt,Black Belt,303,Bally Midway Manufacturing Company,"June, 1986",4,SS,Martial Arts
Black Dragon,Black Dragon,3643,J. H. Keeney and Company Incorporated,"November, 1960",1,EM,
Black Fever,Black Fever,3645,Playmatic,"December, 1980",4,SS,Dancing - Music - Women
Black Flag,Black Flag,304,Playmatic,"May, 1975",4,EM,Historical - Pirates
Black Flag,Black Flag,4487,Playmatic,1973,1,EM,Historical - Pirates
Black Gold,Black Gold,305,Genco Manufacturing Company,12-Mar-49,1,EM,Energy - Oil Exploration
Black Gold,Black Gold,306,"Williams Electronics, Incorporated",24-Sep-75,1,EM,Oil Drilling and Exploration
Black Hole,Black Hole,307,"D. Gottlieb & Company, a Columbia Pictures Industries Company","October, 1981",4,SS,Outer Space
Black Hole,Black Hole,4087,Giuliano Lodola,1980,4,SS,Outer Space - Space Fantasy
Black Hole,Black Hole,4577,"Taito do Brasil, a division of Taito, Japan",,4,SS,
Black Hole,Black Hole,5891,LTD do Brasil Diversıes EletrÙnicas Ltda,,2,SS,Outer Space - Space Fantasy
Black Jack,Black Jack,308,Williams Electronic Manufacturing Company,22-Nov-60,1,EM,Cards/Gambling
Black Jack,Black Jack,309,Bally Manufacturing Corporation,"June, 1978",4,SS,Cards/Gambling
Black Jack,Black Jack,4498,Bally Manufacturing Corporation,"April, 1977",2,EM,Cards/Gambling
Black Knight,Black Knight,310,"Williams Electronics, Incorporated","November, 1980",4,SS,Historical - Knights
Black Knight 2000,Black Knight 2000,311,"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated",4-Apr-89,4,SS,Historical - Knights
Black Knight Limited Edition,Black Knight Limited Edition,3799,"Williams Electronics, Incorporated","June, 1981",4,SS,
Black Magic,Black Magic,5566,Recel S. A.,1980,1,SS,Black Magic - Occult
Black Magic,Black Magic,6013,Procedimientos ElectromagnÈticos de Tanteo y Color,,1,SS,Black Magic - Occult
Black Magic 4,Black Magic 4,3626,Recel S. A.,"June, 1980",4,SS,Black Magic - Occult
Black Out,Black Out,4966,Baker Novelty and Manufacturing Company,,1,EM,Warfare
Black Pearl,Black Pearl,5612,"Viditis, S.P.R.L.","September, 2009",1,SS,
Black Pyramid,Black Pyramid,312,Bally Midway Manufacturing Company,"July, 1984",4,SS,Adventure - Supernatural
Black Rider,Black Rider,4085,Giuliano Lodola,1981,4,SS,Knights
Black Rose,Black Rose,313,"Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated","July, 1992",4,SS,Fantasy - Pirates - Fictional
Black Sheep Squadron,Black Sheep Squadron,314,Astro Games Incorporated,"January, 1979",4,SS,Adventure - Combat
Black Velvet,Black Velvet,315,"Game Plan, Incorporated","May, 1978",4,SS,Licensed Theme
Black-Jack,Black-Jack,4843,Acorn Vending Company,"May, 1932",1,ME,Cards/Gambling
Blackbelt,Blackbelt,316,Zaccaria,"March, 1986",4,SS,Martial Arts
Blackout,Blackout,317,"Williams Electronics, Incorporated","June, 1980",4,SS,Outer Space - Space Fantasy
Blackstone,Blackstone,318,Stoner Manufacturing Company,"July, 1933",1,ME,
Blackstone,Blackstone,3628,Chicago Coin Machine Manufacturing Company,"July, 1933",1,ME,
Blackwater 100,Blackwater 100,319,Bally Midway Manufacturing Company,"March, 1988",4,SS,Sports - Motorcycles/Motocross
Blast Off,Blast Off,320,"Williams Electronics, Incorporated",31-May-67,1,EM,Outer Space
Blink-Feuer,Blink-Feuer,5973,Automatenbau Paul Bohlmann,1937,1,EM,
Block-A-Shot,Block-A-Shot,3630,"Briarwood, A Division Of Brunswick Manufacturing Company","December, 1976",2,EM,Sports - Basketball
Blondie,Blondie,321,Chicago Coin Machine Manufacturing Company,"June, 1956",1,EM,Beach - Swimming
Blondie,Blondie,322,Genco Manufacturing Company,"March, 1940",1,EM,Beach - Boating - Happiness - Recreation - Swimming - Water - Women
Bloody China,Bloody China,3969,Unknown Manufacturer,1985,4,SS,World Places - Martial Arts
Bloody Roller,Bloody Roller,4123,Playbar S.A.,1987,4,SS,Roller Derby - Rollerskating
Blow Me Down,Blow Me Down,323,Coast Coin Machine Company,"April, 1933",1,ME,
Blue Bird,Blue Bird,324,Bally Manufacturing Corporation,"September, 1936",1,EM,
Blue Box,Blue Box,4739,C. E. Hoagland,"July, 1935",1,EM,
Blue Chip,Blue Chip,325,"Williams Electronics, Incorporated","December, 1976",1,EM,Stock Market
Blue Chip,Blue Chip,3632,Bally Manufacturing Corporation,,1,EM,
Blue Diamond,Blue Diamond,4531,Willy Michiels,,1,SS,
Blue Grass,Blue Grass,326,Bally Manufacturing Corporation,1941,1,EM,Sports - Horse Racing
Blue Max,Blue Max,327,Chicago Coin Machine Manufacturing Company,10-Jul-75,4,EM,Adventure - Combat
Blue Note,Blue Note,328,"D. Gottlieb & Company, a Columbia Pictures Industries Company","December, 1978",1,EM,Music - Singing
Blue Ribbon,Blue Ribbon,329,Bally Manufacturing Corporation,"November, 1933",1,ME,Sports - Auto Racing
Blue Ribbon,Blue Ribbon,330,Bally Manufacturing Corporation,"December, 1965",4,EM,Pageantry
Blue Ribbon,Blue Ribbon,3826,Bally Manufacturing Corporation,1939,1,EM,
Blue Seal,Blue Seal,331,Watling Manufacturing Company,"April, 1932",1,ME,
Blue Skies,Blue Skies,332,United Manufacturing Company,"November, 1948",1,EM,Sailing - Relaxation
Blue Star Double,Blue Star Double,4011,DeLuxe Amusement Company,"February, 1933",1,ME,
Blue Streak,Blue Streak,333,"Daval Mfg Company Incorporated, G.B.","October, 1934",1,ME,
Blue Streak,Blue Streak,4206,Dudley-Clark Company,1934,1,ME,
BMX,BMX,335,Bally Manufacturing Corporation,"January, 1983",4,SS,Sports - Bicycling
Bo Bo,Bo Bo,336,Williams Electronic Manufacturing Company,17-Jan-61,1,EM,Circus / Carnival - Clowns
Board of Trade,Board of Trade,4262,O. D. Jennings and Company,"November, 1935",1,EM,Commodities Market - Automobiles - City Scene - Travel
Bobs,Bobs,3638,Exhibit Supply Company,"January, 1938",1,EM,Bobsledding - Snow
Boing Boing,Boing Boing,4608,Talleres del Llobregat S.A. [Automaticos],,,,
Bola-Way,Bola-Way,337,Chicago Coin Machine Manufacturing Company,13-Sep-41,1,EM,Sports - Bowling
Bolero,Bolero,338,United Manufacturing Company,"December, 1951",1,EM,Music - Singing - Dancing
Bolo,Bolo,340,Pacent Novelty Manufacturing Company,"July, 1936",5,EM,Sports - Bowling
Bomb The Axis Rats,Bomb The Axis Rats,3641,Victory Games,"September, 1943",1,EM,Wartime - Patriotic
Bombardier,Bombardier,3647,Victory Games,"October, 1943",1,EM,Wartime
Bombardier,Bombardier,3846,P & S Machine Company,"August, 1943",1,EM,
Bombardier,Bombardier,3872,P & S Machine Company,"July, 1944",1,EM,Military - World War II
Bomber,Bomber,341,Rock-ola Manufacturing Corporation,"November, 1935",1,EM,Warfare
Bomber,Bomber,342,Chicago Coin Machine Manufacturing Company,"March, 1951",1,EM,Adventure - Combat
Bomber,Bomber,3649,Unknown Manufacturer,1943,1,EM,
Bon Voyage,Bon Voyage,343,Bally Manufacturing Corporation,"November, 1974",1,EM,Aviation - Travel - Transportation
Bonanza,Bonanza,344,Exhibit Supply Company,"September, 1935",1,EM,
Bonanza,Bonanza,345,D. Gottlieb & Company,"June, 1964",2,EM,TV Show - Western
Bonanza,Bonanza,346,Williams Manufacturing Company,5-Nov-47,1,EM,
Bonanza,Bonanza,3803,Bally Manufacturing Corporation,,1,EM,TV Show - Western
Bone Busters Inc.,Bone Busters Inc.,347,Premier Technology,"August, 1989",4,SS,Haunted - Skeletons - Supernatural
Bone Head,Bone Head,348,Genco Manufacturing Company,5-Nov-48,1,EM,
Bongo,Bongo,349,Bally Manufacturing Corporation,"March, 1964",2,EM,
Bongor,Bongor,5713,Maquinas Recreativas Sociedad Anonima,1975,1,EM,Jungle
Bonus,Bonus,4223,Pacific Amusement Manufacturing Company,"February, 1935",1,EM,
Bonus Baseball,Bonus Baseball,350,United Manufacturing Company,"February, 1962",1,EM,Sports - Baseball
Bonus-7,Bonus-7,351,Bally Manufacturing Corporation,,1,EM,
Boo-Hoo,Boo-Hoo,353,"Daval Mfg Company Incorporated, G.B.","May, 1937",1,EM,Sports - Horse Racing
Boogie,Boogie,352,"Allied Leisure Industries, Incorporated","August, 1976",4,SS,Music ñ Singing - Dancing
Bookmaker's,Bookmaker's,4397,Dama S.R.L.,1970,1,EM,
Boom Town,Boom Town,355,Success Manufacturing Corporation,"April, 1941",1,EM,Oil Drilling and Exploration
Boomerang,Boomerang,354,Bally Manufacturing Corporation,"December, 1974",4,EM,Adventure - Foreign Peoples
Boomerang,Boomerang,6042,Amusematic Corporation,"February, 1947",1,EM,Circus/Carnival - Clowns
Boomerang,Boomerang,6338,Bally Manufacturing Corporation,,4,SS,Adventure - Foreign Peoples
Boop-A-Doop,Boop-A-Doop,3653,Pace Manufacturing Company Incorporated,"March, 1932",1,ME,
Booster,Booster,4282,J. H. Keeney and Company Incorporated,"May, 1936",1,EM,
Boot-A-Ball,Boot-A-Ball,356,Bally Manufacturing Corporation,,2,EM,Sports - Soccer
Bord-Golf,Bord-Golf,5782,Max Jentzsch & Meerz,"November, 1933",1,ME,Sports - Golf
Border Beauty,Border Beauty,3657,Bally Manufacturing Corporation,,1,EM,World Places
Border-Town,Border-Town,357,D. Gottlieb & Company,"June, 1940",1,EM,Oil Exploration - Western
Bosco,Bosco,358,Genco Manufacturing Company,"November, 1941",1,EM,Animals - Dogs - Music - Pets
Boston,Boston,359,Williams Manufacturing Company,17-May-49,1,EM,American History - American Places
Boston Red Sox,Boston Red Sox,5534,,,1,EM,Sports - Baseball
Bottoms Up,Bottoms Up,5465,Globe Manufacturing Company,"August, 1935",1,EM,
Bouncer,Bouncer,4740,C. E. Hoagland,"July, 1935",1,ME,
Bouncing Ball,Bouncing Ball,4837,Royal Novelty Company,"January, 1933",1,ME,
Bounty,Bounty,360,Exhibit Supply Company,"November, 1938",1,EM,Adventure - Pirates
Bounty,Bounty,3659,Bally Manufacturing Corporation,,1,EM,
Bounty Hunter,Bounty Hunter,361,Premier Technology,"July, 1985",4,SS,American West
Bouteille Bill,Bouteille Bill,5972,Unknown Manufacturer,,1,ME,
Bow and Arrow,Bow and Arrow,4770,Bally Manufacturing Corporation,1974,4,SS,American West
Bow and Arrow,Bow and Arrow,362,Bally Manufacturing Corporation,"November, 1975",4,EM,American West
Bowie,Bowie,4297,"Daval Mfg Company Incorporated, G.B.",1936,1,EM,
Bowl A Line,Bowl A Line,5090,Bally Manufacturing Corporation,,1,EM,
Bowl A Strike,Bowl A Strike,363,Williams Electronic Manufacturing Company,23-Nov-65,1,EM,Sports - Bowling
Bowl-A-Line,Bowl-A-Line,4529,Bally Manufacturing Corporation,1972,1,EM,
Bowl-A-Line,Bowl-A-Line,6394,Genco Manufacturing Company,7-Sep-50,,EM,Sports - Bowling
Bowl-A-Ray,Bowl-A-Ray,6390,Genco Manufacturing Company,24-Apr-50,,EM,Sports - Bowling
Bowl-O,Bowl-O,368,Bally Manufacturing Corporation,"April, 1970",1,EM,Sports - Bowling
Bowlette,Bowlette,3661,D. Gottlieb & Company,"February, 1950",1,EM,Sports - Bowling
Bowling,Bowling,5380,Unknown Manufacturer,,1,EM,Sports - Bowling
Bowling,Bowling,6231,"F·brica de Aparatos Electro Mec·nicos Recreativos, S.L",,,,Sports - Bowling
bowling (alle neune),bowling (alle neune),6037,Naujoks-Schulze-Menke,,1,EM,Sports - Bowling
Bowling Alley,Bowling Alley,364,D. Gottlieb & Company,"February, 1939",1,EM,Sports - Bowling
Bowling Alley,Bowling Alley,3662,Chicago Coin Machine Manufacturing Company,"October, 1949",1,EM,Sports - Bowling
Bowling Champ,Bowling Champ,365,D. Gottlieb & Company,"February, 1949",1,EM,Sports - Bowling
Bowling Flipper,Bowling Flipper,3663,Rally a.k.a. Rally Play Company,1961,2,EM,Sports - Bowling
Bowling League,Bowling League,366,D. Gottlieb & Company,"August, 1947",1,EM,Sports - Bowling
Bowling League,Bowling League,6389,Genco Manufacturing Company,30-Nov-49,1,EM,Sports - Bowling
Bowling Queen,Bowling Queen,367,D. Gottlieb & Company,"July, 1964",1,EM,Sports - Bowling
Bowlingirl,Bowlingirl,3978,Ditta Artigiana Ricambi,,2,EM,Sports - Bowling
Box Score,Box Score,369,"Daval Mfg Company Incorporated, G.B.","June, 1935",1,EM,Sports - Baseball
Box Score,Box Score,370,"Daval Mfg Company Incorporated, G.B.","April, 1939",1,EM,Sports - Baseball
Box Score,Box Score,3742,Williams Manufacturing Company,"December, 1947",1,EM,Sports - Baseball
Boxing,Boxing,4367,Maquinas Recreativas Sociedad Anonima,1967,1,EM,Sports - Boxing
Bram Stoker's Dracula,Bram Stoker's Dracula,3072,"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","April, 1993",4,SS,Celebrities - Fictional - Licensed Theme
Brave Team,Brave Team,4480,Industria (Electromec·nica) de Recreativos S.A,1985,4,SS,
Brazil,Brazil,372,United Manufacturing Company,"October, 1956",1,EM,Beach - Happiness - Recreation - Swimming - Water - Women - World Places
Brazil,Brazil,373,United Manufacturing Company,"August, 1943",1,EM,World Places
Break,Break,5569,Videodens,1986,4,SS,
Breakshot,Breakshot,3784,"Capcom Coin-Op, Incorporated","May, 1996",4,SS,Pool
Bridgeball,Bridgeball,5602,Culp Products Company,15-Sep-50,1,ME,
Bright Lights,Bright Lights,374,Bally Manufacturing Corporation,,1,EM,
Bright Spot,Bright Spot,375,Bally Manufacturing Corporation,,1,EM,
Brillant Torero,Brillant Torero,4887,T.H. Bergmann & Company,1938,1,EM,Sports - Bullfighting
Bristol Hills,Bristol Hills,376,D. Gottlieb & Company,"January, 1971",2,EM,Sports - Skiing - Snowmobiling
Brite Spot,Brite Spot,377,Stoner Manufacturing Company,"May, 1940",1,EM,
Brite Star,Brite Star,378,D. Gottlieb & Company,"April, 1958",2,EM,Show Business
Broadcast,Broadcast,379,Bally Manufacturing Corporation,"February, 1941",1,EM,
Broadway,Broadway,380,Pacific Amusement Manufacturing Company,"December, 1936",1,EM,American Places - Entertainment - Theater
Broadway,Broadway,381,Bally Manufacturing Corporation,,1,EM,
Broadway,Broadway,382,Bally Manufacturing Corporation,,1,EM,Pageantry - Women
Broadway,Broadway,3917,Bill's Novelty Company,"September, 1932",1,ME,
Broadway,Broadway,5563,Broadway Novelty Co.,"September, 1932",1,ME,American Places - Entertainment - Theater
Broadway,Broadway,5620,Unknown Manufacturer,,1,ME,
Brokers Tip,Brokers Tip,383,D. Gottlieb & Company,"June, 1933",1,ME,Wall Street
Brokers Tip,Brokers Tip,384,D. Gottlieb & Company,"April, 1936",1,EM,
Broncho,Broncho,385,Exhibit Supply Company,"October, 1937",1,EM,
Broncho,Broncho,386,Genco Manufacturing Company,3-Sep-47,1,EM,American West - Rodeo
Bronco,Bronco,387,Chicago Coin Machine Manufacturing Company,"November, 1963",2,EM,Horses - Rodeo - Western
Bronco,Bronco,388,"D. Gottlieb & Company, a Columbia Pictures Industries Company","March, 1977",4,EM,American West
Bronco Busters,Bronco Busters,4861,Gotham Pressed Steel Corporation,,1,ME,American West
Brooklyn,Brooklyn,6086,SIRMO Games S.A.,,1,SS,American Places
Brooks & Dunn,Brooks & Dunn,4008,Premier Technology,"August, 1996",4,SS,Music - Western
Brownie Pool,Brownie Pool,5508,J. Kammen,"February, 1932",1,ME,
Bubble,Bubble,389,Genco Manufacturing Company,"February, 1939",1,EM,
Bubbles,Bubbles,3963,Genco Manufacturing Company,17-Apr-47,1,EM,Ecdysiast Entertainment - Dancing - Women
Bubbles,Bubbles,5325,Genco Manufacturing Company,"January, 1939",1,EM,Women
Bubbles (Rolldown),Bubbles (Rolldown),4355,Genco Manufacturing Company,31-Jan-48,1,EM,
Buccaneer,Buccaneer,390,D. Gottlieb & Company,"October, 1948",1,EM,Historical - Pirates
Buccaneer,Buccaneer,391,D. Gottlieb & Company,"June, 1976",1,EM,Adventure - Pirates
Buccaneer,Buccaneer,6276,J. Esteban,,4,EM,Adventure - Pirates
Buccaneer,Buccaneer,6289,Abbott Specialties Corp.,"October, 1947",1,EM,
Buck Rogers,Buck Rogers,4999,L & V Mambelli,,1,EM,
Buck Rogers,Buck Rogers,392,"D. Gottlieb & Company, a Columbia Pictures Industries Company","January, 1980",4,SS,Fantasy - Outer Space
Buckaroo,Buckaroo,393,D. Gottlieb & Company,"June, 1965",1,EM,American West
Buckaroo,Buckaroo,394,Chicago Coin Machine Manufacturing Company,6-Jul-39,1,EM,American West
Buckaroo,Buckaroo,3665,Chicago Coin Machine Manufacturing Company,1-Jul-39,1,EM,
Bucks,Bucks,4161,Bally Manufacturing Corporation,1935,1,EM,
Budget,Budget,3666,Chicago Coin Machine Manufacturing Company,16-Mar-36,1,EM,
Buffalo Bill,Buffalo Bill,395,D. Gottlieb & Company,"May, 1950",1,EM,Western - Historical
Bugs Bunny's Birthday Ball,Bugs Bunny's Birthday Ball,396,"Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated","January, 1991",4,SS,Licensed Theme - Cartoons - Happiness
Build Up,Build Up,397,Exhibit Supply Company,20-Jan-48,1,EM,Show Business - Vaudeville - Women
Builder Upper,Builder Upper,398,"G. M. Laboratories, Incorporated","March, 1935",1,EM,
Bull Market,Bull Market,3668,Bally Manufacturing Corporation,,1,EM,
Bull's Eye,Bull's Eye,401,Bally Manufacturing Corporation,"December, 1937",1,EM,Sports - Target Practice
Bull's Eye,Bull's Eye,1198,Bally Manufacturing Corporation,,2,EM,Sports - Archery
Bullet,Bullet,399,Pierce Tool and Manufacturing Company,"May, 1935",1,EM,Military - World War I
Bullet Mark,Bullet Mark,6477,Sega of America,"October, 1975",2,SS,
Bullfight,Bullfight,3667,Bally Manufacturing Corporation,"January, 1965",1,EM,Adventure - Foreign Peoples
Bulls Eye Baseball,Bulls Eye Baseball,402,Chicago Coin Machine Manufacturing Company,24-Mar-67,2,EM,Sports - Baseball
Bulls Eye Big League,Bulls Eye Big League,5045,Chicago Coin Machine Manufacturing Company,"May, 1955",2,EM,Sports - Baseball
Bulls Eye Deluxe Big League,Bulls Eye Deluxe Big League,4691,Chicago Coin Machine Manufacturing Company,1955,2,EM,Sports - Baseball
Bulls-Eye Drop Ball (Upright Model),Bulls-Eye Drop Ball (Upright Model),5976,Chicago Coin Machine Manufacturing Company,,1,EM,Beaches - Boating - Sailing - Swimming - Water - Women
Bullseye,Bullseye,4563,Premier Technology,"April, 1994",1,SS,Rodeo
Bullseye 301,Bullseye 301,3669,Pinstar,"April, 1986",4,SS,
Bump-A-Lite,Bump-A-Lite,404,Chicago Coin Machine Manufacturing Company,16-Feb-37,1,EM,
Bump-T-Ball,Bump-T-Ball,3671,Pacific Amusement Manufacturing Company,"January, 1932",1,ME,
Bumper,Bumper,405,Bally Manufacturing Corporation,"December, 1936",1,EM,
Bumper,Bumper,5623,T. S. Halpin & Co. Ltd.,,1,EM,
Bumper,Bumper,6194,Bill Port,,1,EM,Outer Space - Science Fiction - Space Fantasy
Bumper Bowling,Bumper Bowling,3670,"Daval Mfg Company Incorporated, G.B.","July, 1937",1,EM,Sports - Bowling
Bumper Pool,Bumper Pool,406,D. Gottlieb & Company,"June, 1969",1,EM,Billiards
Bumper Senior,Bumper Senior,4172,Bally Manufacturing Corporation,"February, 1937",1,EM,
Bunco,Bunco,3672,Specialty Sales Company,"March, 1932",1,ME,
Bunnyboard,Bunnyboard,407,Marble Games Company,"November, 1931",1,ME,
Burlesk,Burlesk,5063,V. P. Distributing Company,1944,1,EM,
Bus Stop,Bus Stop,4876,Maquinas Recreativas Sociedad Anonima,,1,EM,
Bus Stop,Bus Stop,408,Bally Manufacturing Corporation,"December, 1964",2,EM,Travel
Bush-League,Bush-League,3759,D. Gottlieb & Company,"July, 1951",1,EM,Sports - Baseball
Bushido,Bushido,4481,Industria (Electromec·nica) de Recreativos S.A,1993,4,SS,Japanese Culture - History
Bushwack,Bushwack,5101,Advertising Posters Company,,,,Western
Buster Ball,Buster Ball,409,Genco Manufacturing Company,"December, 1931",1,ME,
Butterfly,Butterfly,410,Segasa d.b.a. Sonic,"November, 1977",4,EM,Fantasy
Buttons,Buttons,411,Exhibit Supply Company,"September, 1938",1,EM,
Buttons,Buttons,412,"Daval Mfg Company Incorporated, G.B.",1937,1,EM,
Buttons and Bows,Buttons and Bows,413,D. Gottlieb & Company,"March, 1949",1,EM,
Buzzer,Buzzer,3673,Rock-ola Manufacturing Corporation,1935,1,EM,
C.O.D.,C.O.D.,621,Bally Manufacturing Corporation,"February, 1935",1,EM,
C.O.D.,C.O.D.,622,Bally Manufacturing Corporation,"November, 1939",1,EM,
C.O.D.,C.O.D.,623,Williams Manufacturing Company,11-Sep-53,1,EM,Glamour - Shopping - Women
Cabana,Cabana,414,United Manufacturing Company,"March, 1953",1,EM,
Cabaret,Cabaret,415,"Williams Electronics, Incorporated","December, 1968",4,EM,Dancing - Happiness - Music - Nightlife - Singing
Cabaret,Cabaret,5202,Recreativos Franco,1975,1,EM,Music - Singing - Dancing
Cabin Fever,Cabin Fever,5186,,2006,1,SS,Nature - Outdoors
