Name,Orig Name,IPDB ID,Manufacturer,Date Manufactured,Players,Type,Theme
4-IN-1 (Pigskin: 2010),4-IN-1 (Pigskin: 2010),6010,"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","December, 1985",2,SS,Sports - Football
4-IN-1 (Poker),4-IN-1 (Poker),6009,"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","December, 1985",2,SS,Cards - Gambling - Poker
4-IN-1 (Willy At The Bat),4-IN-1 (Willy At The Bat),6008,"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","December, 1985",2,SS,Sports - Baseball
4-IN-1 (Willyís Cup),4-IN-1 (Willy?s Cup),6011,"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","December, 1985",2,SS,Sports - Futbol - Soccer
4-Score,4-Score,3771,D. Gottlieb & Company,"March, 1957",,EM,
400,400,934,Genco Manufacturing Company,"July, 1952",1,EM,
41-Derby,41-Derby,3057,Bally Manufacturing Corporation,"August, 1941",1,EM,Sports - Horse Racing
42nd and Broadway,42nd and Broadway,5991,,,1,EM,
42nd Street,42nd Street,923,Genco Manufacturing Company,"December, 1933",1,ME,Broadway - Movies
45-Derby,45-Derby,5705,Roy McGinnis Company,"June, 1945",1,EM,Sports - Horse Racing
4x4,4x4,5486,Maquinas Recreativas Sociedad Anonima,,1,EM,Music - People - Op Art
4X4,4X4,3111,"Atari, Incorporated",1983,4,SS,
5 Star,5 Star,864,"Universal Industries, Inc. (Chicago) A subsidiary of United Manufacturing Co.","May, 1951",1,EM,
50/50,50/50,841,"G. M. Laboratories, Incorporated","November, 1935",1,EM,
50/50,50/50,842,Bally Manufacturing Corporation,"July, 1965",2,EM,Fun Park
5th Inning,5th Inning,6132,United Manufacturing Company,"June, 1955",4,EM,Sports - Baseball
66,66,3925,Globe Manufacturing Company,"December, 1934",1,ME,
11-Jul,11-Jul,4980,"Baker Machine & Plating Company, Incorporated","April, 1932",1,ME,
