Name,AltName,Manufacturer,ManufacturerShort,Year,Players,Type,Theme,IPDBID
"4-Belles","","D. Gottlieb & Company","Gottlieb","1954","1","EM","Nautical - Sailing","943"
"4-IN-1 (Pigskin: 2010)","","Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","Williams","1985","2","SS","Sports - Football","6010"
"4-IN-1 (Poker)","","Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","Williams","1985","2","SS","Cards - Gambling - Poker","6009"
"4-IN-1 (Willy At The Bat)","","Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","Williams","1985","2","SS","Sports - Baseball","6008"
"4-IN-1 (Willy’s Cup)","","Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","Williams","1985","2","SS","Sports - Futbol - Soccer","6011"
"4-Score","","D. Gottlieb & Company","Gottlieb","1957","","EM","","3771"
"400","","Genco Manufacturing Company","Genco Manufacturing Company","1952","1","EM","","934"
"41-Derby","","Bally Manufacturing Corporation","Bally","1941","1","EM","Sports - Horse Racing","3057"
"42nd and Broadway","","","Unknown","","1","EM","","5991"
"42nd Street","","Genco Manufacturing Company","Genco Manufacturing Company","1933","1","ME","Broadway - Movies","923"
"45-Derby","","Roy McGinnis Company","Roy McGinnis Company","1945","1","EM","Sports - Horse Racing","5705"
"4x4","","Maquinas Recreativas Sociedad Anonima","Maquinas Recreativas Sociedad Anonima","","1","EM","Music - People - Op Art","5486"
"4X4","","Atari, Incorporated","Atari","1983","4","SS","","3111"
"5 Star","","Universal Industries, Inc. (Chicago) A subsidiary of United Manufacturing Co.","Universal Industries, Inc. (Chicago) A subsidiary of United Manufacturing Co.","1951","1","EM","","864"
"50/50","","G. M. Laboratories, Incorporated","G. M. Laboratories, Incorporated","1935","1","EM","","841"
"50/50","","Bally Manufacturing Corporation","Bally","1965","2","EM","Fun Park","842"
"5th Inning","","United Manufacturing Company","United Manufacturing Company","1955","4","EM","Sports - Baseball","6132"
"66","","Globe Manufacturing Company","Globe Manufacturing Company","1934","1","ME","","3925"
"11-Jul","","Baker Machine & Plating Company, Incorporated","Baker Machine & Plating Company, Incorporated","1932","1","ME","","4980"
"7-Up","","Talleres del Llobregat S.A. [Automaticos]","Talleres del Llobregat S.A. [Automaticos]","1970","1","EM","Playing Dice","4433"
"8 Ball","","Williams Electronic Manufacturing Company","Williams","1966","2","EM","Billiards","764"
"A Circus","","Colonial Specialties Company","Colonial Specialties Company","1932","1","ME","","5385"
"A Circus","","Ace Novelty Company","Ace Novelty Company","1932","1","ME","","5389"
"A-B-C","","United Manufacturing Company","United Manufacturing Company","1951","1","EM","","2875"
"A-B-C Bowler","","D. Gottlieb & Company","Gottlieb","1941","1","EM","Sports - Bowling","1"
"A-Go-Go","","Williams Electronic Manufacturing Company","Williams","1966","4","EM","Happiness - Dancing","27"
"A-MAZE-ING Baseball","","Alvin G. and Company","Alvin G.","1994","1","SS","Sports - Baseball","4957"
"A.B.C.","","A.B.T. Manufacturing Company","A.B.T. Manufacturing Company","1936","1","EM","","4315"
"A.G. Football","","Alvin G. and Company","Alvin G.","1992","2","SS","Sports - Football - Futbol - Soccer","2886"
"A.G. Soccer-Ball","","Alvin G. and Company","Alvin G.","1991","2","SS","Sports - Soccer","120"
"Aaron Spelling","","Data East Pinball, Incorporated","Data East","1992","4","SS","","4339"
"ABC Roll","","Champion Games","Champion Games","1946","1","EM","","4519"
"Abra Ca Dabra","","D. Gottlieb & Company","Gottlieb","1975","1","EM","Wizard/Magic","2"
"Abra Ca Dabra","","D. Gottlieb & Company","Gottlieb","1971","1","EM","","2876"
"AC/DC (Let There Be Rock Limited Edition)","AC/DC","Stern Pinball, Incorporated","Stern","2012","4","SS","Licensed Theme - Music","5776"
"AC/DC (LUCI Premium)","","Stern Pinball, Incorporated","Stern","2013","4","SS","Licensed Theme - Music","6060"
"AC/DC (LUCI Vault Edition)","AC/DC","Stern Pinball, Incorporated","Stern","2018","4","SS","Licensed Theme - Music","6502"
"AC/DC (Premium Vault Edition)","AC/DC","Stern Pinball, Incorporated","Stern","2017","4","SS","Licensed Theme - Music","6440"
"AC/DC (Premium)","AC/DC","Stern Pinball, Incorporated","Stern","2012","4","SS","Licensed Theme - Music","5775"
"AC/DC (Pro LED)","AC/DC","Stern Pinball, Incorporated","Stern","2014","4","SS","Licensed Theme - Music","6441"
"AC/DC (Pro Vault Edition)","AC/DC","Stern Pinball, Incorporated","Stern","2017","4","SS","Licensed Theme - Music","6439"
"AC/DC (Pro)","AC/DC","Stern Pinball, Incorporated","Stern","2012","4","SS","Licensed Theme - Music","5767"
"AC/DC Back In Black (Limited Edition)","AC/DC Back In Black","Stern Pinball, Incorporated","Stern","2012","4","SS","Licensed Theme - Music","5777"
"Acapulco","","Bally Manufacturing Corporation","Bally","","1","EM","Beach - Boating - Happiness - Recreation - Swimming - Water - Women","3"
"Acapulco","","Splin S.A.","Splin S.A.","","1","SS","","5864"
"Ace","","","","","1","ME","","4896"
"Ace","","Ace Manufacturing Company","Ace Manufacturing Company","1932","1","ME","","4"
"Ace","","Bally Manufacturing Corporation","Bally","1935","1","EM","","5"
"Ace High","","Pierce Tool and Manufacturing Company","Pierce Tool and Manufacturing Company","1932","1","ME","Card Game","6"
"Ace High","","D. Gottlieb & Company","Gottlieb","1957","1","EM","Cards/Gambling","7"
"Ace High","","D. Gottlieb & Company","Gottlieb","1954","1","EM","","3765"
"Ace High","","Premier Technology","Premier","","4","SS","Playing Cards","5235"
"Ace Is High","","Hercules Novelty Company, Incorporated","Hercules Novelty Company, Incorporated","1931","1","ME","Cards/Gambling","8"
"Aces & Kings","","Williams Electronics, Incorporated","Williams","1970","4","EM","Cards/Gambling","11"
"Aces High","","Bally Manufacturing Corporation","Bally","1965","4","EM","Gambling - Poker - Riverboat","9"
"Aces High","","","","1932","1","","","3990"
"Aces Top","","Bally Manufacturing Corporation","Bally","1965","4","EM","Gambling - Poker - Riverboat","5236"
"Acey Ducy","","Auto Bell Novelty Company","Auto Bell Novelty Company","1960","2","ME","Playing Cards","2877"
"Across the Board","","Rock-ola Manufacturing Corporation","Rock-ola Manufacturing Corporation","1938","1","EM","","12"
"Across the Board","","Universal Industries, Inc. (Chicago) A subsidiary of United Manufacturing Co.","Universal Industries, Inc. (Chicago) A subsidiary of United Manufacturing Co.","1951","1","EM","Sports - Horse Racing","13"
"Action","","Chicago Coin Machine Manufacturing Company","Chicago Coin","1969","1","EM","Sports - Auto Racing","15"
"Action","","","","1943","1","EM","","3839"
"Action (Jr)","","Bally Manufacturing Corporation","Bally","1934","1","EM","","17"
"Action (Sr)","","Automatic Amusements Company","Automatic Amusements Company","1934","1","EM","","16"
"Action (Sr)","","Bally Manufacturing Corporation","Bally","1934","1","EM","","18"
"Action Baseball","","Williams Electronics, Incorporated","Williams","1971","2","EM","Sports - Baseball","14"
"Add-A-Ball","","Williams Electronic Manufacturing Company","Williams","1961","1","EM","Circus/Carnival","4362"
"Admiral","","Genco Manufacturing Company","Genco Manufacturing Company","1933","1","ME","","22"
"Advance","","Automatic Amusements Company","Automatic Amusements Company","1933","1","ME","","2879"
"Advance Alley Roll","","Genco Manufacturing Company","Genco Manufacturing Company","","1","EM","","5644"
"Advance Baby","","Advance Automatic Machine Company","Advance Automatic Machine Company","1932","1","ME","","4824"
"Advance Pool","","Chicago Coin Machine Manufacturing Company","Chicago Coin","","2","EM","Billiards","5752"
"Advance Roll","","Genco Manufacturing Company","Genco Manufacturing Company","1946","1","EM","","2880"
"Adventure","","Sega Enterprises, Ltd.","Sega","1979","2","SS","Adventure - Boats - Recreation - Sailing - Water","5544"
